country,province,country,designation,points,price,province,region_1,region_2,variety,winery,last_year_points
Chile,Rapel Valley,Chile,Canto de Apalta,92.0,22.0,Rapel Valley,,,Red Blend,Lapostolle,88
Chile,Rapel Valley-Casablanca Valley,Chile,Borobo,92.0,70.0,Rapel Valley-Casablanca Valley,,,Red Blend,Lapostolle,88
Chile,Requinoa,Chile,Single Vineyard Plot: Sauco,89.0,13.0,Requinoa,,,Malbec,Anakena,91
Chile,Rio Claro,Chile,Reserve,86.0,14.0,Rio Claro,,,Cabernet Sauvignon,Aresti,90
Chile,San Antonio,Chile,,93.0,86.0,San Antonio,,,Syrah,Matetic,98
Chile,San Clemente,Chile,Serie Riberas Gran Reserva Ribera del Maule,87.0,18.0,San Clemente,,,Merlot,Concha y Toro,81
Chile,Santa Cruz,Chile,Alpha M,93.0,100.0,Santa Cruz,,,Bordeaux-style Red Blend,Montes,99
China,China,China,,82.0,27.0,China,,,Chardonnay,Chateau Changyu-Castel,80
Croatia,Croatia,Croatia,G6,88.0,19.0,Croatia,,,Grenache,Bibich,84
Croatia,Dalmatian Coast,Croatia,Dry Red,88.0,19.0,Dalmatian Coast,,,Plavac Mali,Vuina,90
Croatia,Dingač,Croatia,,90.0,38.0,Dingač,,,Plavac Mali,Grgić Vina,82
Croatia,Hrvatsko Primorje,Croatia,,84.0,13.0,Hrvatsko Primorje,,,Zlahtina,Toljanic,87
Croatia,Hvar,Croatia,Vrhunsko Bijelo Vino,88.0,20.0,Hvar,,,Posip,Zlatan Otok,94
Croatia,Istria,Croatia,Ponente,90.0,20.0,Istria,,,Malvazija,Trapan,95
Croatia,Korčula,Croatia,,89.0,28.0,Korčula,,,Posip,Grgić Vina,100
Croatia,Krk,Croatia,Dry White,88.0,17.0,Krk,,,Zlahtina,Sipun,94
Croatia,Kutjevo,Croatia,Barrique,90.0,25.0,Kutjevo,,,Zweigelt,Enjingi,86
Croatia,Middle and South Dalmatia,Croatia,Dubrovnik,84.0,20.0,Middle and South Dalmatia,,,Malvasia,Karaman Winery,88
Croatia,North Dalmatia,Croatia,Ambra,91.0,50.0,North Dalmatia,,,Red Blend,Bibich,87
Croatia,Peljesac,Croatia,Stagnum,90.0,57.0,Peljesac,,,Plavac Mali,Miloš,99
Croatia,Podunavlje,Croatia,,87.0,13.0,Podunavlje,,,Traminer,Iločki Podrumi,86
Cyprus,Commandaria,Cyprus,Alasia,89.0,18.0,Commandaria,,,Red Blend,Loel,99
Cyprus,Cyprus,Cyprus,Ayios Andronicos,87.0,11.0,Cyprus,,,White Blend,Chrysorroyiatissa,85
Cyprus,Kathikas,Cyprus,Agios Onoufrios,87.0,18.0,Kathikas,,,Red Blend,Kathikac,95
Cyprus,Lemesos,Cyprus,,80.0,10.0,Lemesos,,,Xinisteri,Domaine Nicolaides,96
Cyprus,Pitsilia Mountains,Cyprus,Oak Aged,88.0,22.0,Pitsilia Mountains,,,Cabernet Sauvignon,Tsiakkas,84
Czech Republic,Moravia,Czech Republic,,87.0,15.0,Moravia,,,Rivaner,Vino z Czech,85
Egypt,Egypt,Egypt,Caspar Blanc de Noirs,84.0,,Egypt,,,Grenache,Sahara Vineyards,91
England,England,England,Blanc de Blancs,94.0,45.0,England,,,Chardonnay,Hattingley Valley Wines,93
France,Alsace,France,Grand Cru Clos Saint-Urbain Rangen de ThannSéléction des Grains Nobles,97.0,269.0,Alsace,Alsace,,Pinot Gris,Domaine Zind-Humbrecht,94
France,Beaujolais,France,Javernières,94.0,,Beaujolais,Morgon,,Gamay,Domaine Louis-Claude Desvignes,90
France,Bordeaux,France,,100.0,848.0,Bordeaux,Pessac-Léognan,,Bordeaux-style White Blend,Château Haut-Brion,98
France,Burgundy,France,,98.0,411.0,Burgundy,Bienvenues Bâtard-Montrachet,,Chardonnay,Domaine Leflaive,89
France,Champagne,France,Clos du Mesnil,100.0,1400.0,Champagne,Champagne,,Chardonnay,Krug,97
France,France Other,France,Vin Jaune,92.0,45.0,France Other,Arbois,,Savagnin,Domaine Daniel Dugois,100
France,Languedoc-Roussillon,France,Legend Vintage,95.0,350.0,Languedoc-Roussillon,Rivesaltes,,Red Blend,Gérard Bertrand,84
France,Loire Valley,France,,96.0,90.0,Loire Valley,Savennières-Coulée de Serrant,,Chenin Blanc,Clos de la Coulée de Serrant,85
France,Provence,France,La Brûlade,95.0,66.0,Provence,Bandol,,Provence red blend,Domaine de la Bégude,94
France,Rhône Valley,France,La Landonne,99.0,450.0,Rhône Valley,Côte Rôtie,,Syrah,E. Guigal,81
France,Southwest France,France,GC,96.0,120.0,Southwest France,Cahors,,Malbec,Château du Cèdre,84
Georgia,Georgia,Georgia,Chardakhi White Dry With Skin Contact Unfiltered,87.0,18.0,Georgia,,,Chinuri,Iago's Wine,86
Georgia,Kakheti,Georgia,Qvevri Traditional Kakhuri Dry Unfiltered Amber Wine,92.0,25.0,Kakheti,,,Rkatsiteli,Alaverdi Monastery Cellar,87
Georgia,Napareuli,Georgia,,85.0,13.0,Napareuli,,,Saperavi,Telavi,84
Germany,Ahr,Germany,Trocken,90.0,40.0,Ahr,,,Früburgunder,Winzergenossenschaft Mayschoss-Altenahr,93
Germany,Baden,Germany,,92.0,37.0,Baden,,,Pinot Noir,Huber,96
Germany,Franken,Germany,Iphöfer Kronsberg Spätlese Trocken,92.0,33.0,Franken,,,Riesling,Hans Wirsching,91
Germany,Germany,Germany,,86.0,13.0,Germany,,,Riesling,Louis Guntrum,89
Germany,Mosel,Germany,Bernkasteler Johannisbrünnchen Eiswein,96.0,95.0,Mosel,,,Riesling,Dr. Pauly Bergweiler,98
Germany,Mosel-Saar-Ruwer,Germany,Kanzem Altenberg Eiswein First Growth,97.0,250.0,Mosel-Saar-Ruwer,,,Riesling,Von Othegraven,96
Germany,Nahe,Germany,Berg Roxheim Erste Lage Trockenbeerenauslese,95.0,237.0,Nahe,,,Riesling,Prinz Salm,87
Germany,Pfalz,Germany,Deidesheimer Hohenmorgen Trockenbeerenauslese - 375 ml,97.0,245.0,Pfalz,,,Riesling,Geh. Rat Dr. von Bassermann-Jordan,81
Germany,Rhein-Mosel,Germany,Detonation,84.0,11.0,Rhein-Mosel,,,Riesling,Immich-Batterieberg,97
Germany,Rheingau,Germany,Trockenbeerenauslese,97.0,445.0,Rheingau,,,Riesling,Schloss Johannisberger,94
Germany,Rheinhessen,Germany,von der Fels,95.0,,Rheinhessen,,,Riesling,Weingut Keller,100
Germany,Württemberg,Germany,Trocken,91.0,24.0,Württemberg,,,Lemberger,Grafen Neipperg,98
Greece,Achaia,Greece,Taos Dry Red Wine,83.0,37.0,Achaia,,,Red Blend,A. Parparoussis,94
Greece,Aigialias Slopes,Greece,,86.0,12.0,Aigialias Slopes,,,Cabernet Sauvignon,Oenoforos,96
Greece,Amindeo,Greece,,84.0,20.0,Amindeo,,,Xinomavro,Ioannis Hatzis,81
Greece,Amyndeon,Greece,Reserve Vieilles Vignes Unfiltered,87.0,38.0,Amyndeon,,,Xinomavro,Alpha Estate,98
Greece,Arcadia,Greece,Reserve,87.0,40.0,Arcadia,,,Agiorgitiko,Ktima Driopi,91
Greece,Atalanti Valley,Greece,Kapnias,89.0,24.0,Atalanti Valley,,,White Blend,Hatzimichalis,95
Greece,Attica,Greece,Private Label White,89.0,,Attica,,,Savatiano,My Big Fat Greek Wine,95
Greece,Beotia,Greece,Fumé,87.0,18.0,Beotia,,,Sauvignon Blanc,Avantis,94
Greece,Central Greece,Greece,Boarding Pass Malagouzia,86.0,17.0,Central Greece,,,Malagousia,Thymiopoulos,99
Greece,Cephalonia,Greece,,90.0,18.0,Cephalonia,,,Robola,Gentilini,87
Greece,Chalkidiki,Greece,Xinomavro-Syrah-Cabernet Sauvignon,87.0,25.0,Chalkidiki,,,Red Blend,Claudia Papayianni,91
Greece,Corinth,Greece,White Squared,88.0,18.0,Corinth,,,White Blend,Zacharias,97
Greece,Crete,Greece,Symbolo Grand Cuvée,89.0,50.0,Crete,,,Red Blend,Lyrarakis,95
Greece,Cyclades,Greece,Atlantis Dry White,86.0,15.0,Cyclades,,,White Blend,Argyros,90
Greece,Drama,Greece,Emphasis,92.0,45.0,Drama,,,Syrah,Pavlidis,96
Greece,Egilias Slopes,Greece,,82.0,12.0,Egilias Slopes,,,Chardonnay,Oenoforos,90
Greece,Epanomi,Greece,Single Vineyard,92.0,23.0,Epanomi,,,Malagousia,Gerovassiliou,93
Greece,Evia,Greece,Collection Unfiltered,87.0,75.0,Evia,,,Syrah,Avantis,96
Greece,Florina,Greece,Axia Malagouzia,89.0,18.0,Florina,,,Malagouzia,Alpha Estate,92
Greece,Gerania,Greece,Red,88.0,28.0,Gerania,,,Red Blend,Domaine Evharis,82
Greece,Goumenissa,Greece,Eurynome Red Dry Wine Xinomavro-Negoska,87.0,27.0,Goumenissa,,,Red Blend,Chatzivariti,82
Greece,Greece,Greece,,89.0,90.0,Greece,,,Red Blend,Evangelo,92
Greece,Halkidiki,Greece,Organics,91.0,22.0,Halkidiki,,,Cabernet Sauvignon,Tsantali,87
Greece,Ilia,Greece,Kallisto Assyrtiko-Robola,89.0,21.0,Ilia,,,White Blend,Mercouri Estate,80
Greece,Ilias,Greece,,89.0,24.0,Ilias,,,Red Blend,Mercouri Estate,81
Greece,Imathia,Greece,Diaporos Block 5,88.0,45.0,Imathia,,,Xinomavro,Kir-Yianni,95
Greece,Ioannina,Greece,Averoff,84.0,24.0,Ioannina,,,Traminer,Katogi & Strofilia,93
Greece,Ismarikos,Greece,Kanenas Maronia Vineyards,87.0,23.0,Ismarikos,,,White Blend,Tsantali,90
Greece,Korinthia,Greece,Mythic River,89.0,15.0,Korinthia,,,White Blend,Estate Constantin Gofas,94
Greece,Lakonia,Greece,Asproudi - Assyrtiko,87.0,19.0,Lakonia,,,White Blend,Vatistas,100
Greece,Lemnos,Greece,Phelonoe,83.0,10.0,Lemnos,,,White Blend,Petros Honas,98
Greece,Lesbos,Greece,Chidiriotiko Made With Organic Grapes,84.0,14.0,Lesbos,,,Red Blend,Methymnaeos,97
Greece,Letrinon,Greece,Domaine Mercouri Cava Dry,90.0,50.0,Letrinon,,,Red Blend,Mercouri Estate,91
Greece,Limnos,Greece,From Single Vineyards Muscat de Limnos Grand Cru,84.0,18.0,Limnos,,,Muscat of Alexandria,Limnos Wines,89
Greece,Macedonia,Greece,The Fourth Dimension,88.0,20.0,Macedonia,,,White Blend,Stelios Kechris,82
Greece,Mantinia,Greece,,90.0,16.0,Mantinia,,,Moschofilero,Boutari,91
Greece,Mavrodaphne of Patras,Greece,Cellar Reserve,87.0,13.0,Mavrodaphne of Patras,,,Mavrodaphne,Tsantali,90
Greece,Messinia,Greece,Geromilos Farms,88.0,11.0,Messinia,,,Cabernet Sauvignon-Merlot,Dimitra,100
Greece,Monemvasia,Greece,Kidonitsa,86.0,40.0,Monemvasia,,,White Blend,Vatistas,83
Greece,Mount Athos,Greece,Metoxi X,89.0,25.0,Mount Athos,,,Red Blend,Tsantali,82
Greece,Muscat of Patras,Greece,,86.0,11.0,Muscat of Patras,,,Muscat,Loukatos,93
Greece,Naoussa,Greece,,89.0,15.0,Naoussa,,,Xinomavro,Chrisohoou,95
Greece,Nemea,Greece,Gaia Estate,91.0,39.0,Nemea,,,Agiorgitiko,Gaia Wines,94
Greece,Opuntia Locris,Greece,Kapnias,87.0,30.0,Opuntia Locris,,,Cabernet Blend,Hatzi Michalis,88
Greece,Pageon,Greece,,86.0,17.0,Pageon,,,Merlot,Protopapas,99
Greece,Pangeon,Greece,Ovilos,90.0,38.0,Pangeon,,,White Blend,Estate Biblia Chora,86
Greece,Patras,Greece,,89.0,14.0,Patras,,,Roditis,Tetramythos,90
Greece,Peloponnese,Greece,Ambelos Phos Roditis-Moschofilero,89.0,13.0,Peloponnese,,,White Blend,Zacharias,88
Greece,Peza,Greece,Mirambelo,85.0,30.0,Peza,,,Red Blend,Mediterra,83
Greece,Pisatis,Greece,Folói,88.0,15.0,Pisatis,,,Roditis,Mercouri Estate,98
Greece,Rapsani,Greece,Epilegmenos Reserve,87.0,35.0,Rapsani,,,Red Blend,Tsantali,94
Greece,Retsina,Greece,Kechribari,88.0,11.0,Retsina,,,Roditis,Stelios Kechris,94
Greece,Samos,Greece,,87.0,11.0,Samos,,,Muscat,Kourtaki,88
Greece,Santorini,Greece,Estate,91.0,35.0,Santorini,,,Assyrtico,Argyros,96
Greece,Sterea Ellada,Greece,,84.0,15.0,Sterea Ellada,,,Chardonnay,My Big Fat Greek Wine,98
Greece,Thessalikos,Greece,,89.0,22.0,Thessalikos,,,Cabernet Sauvignon,Karipidis,84
Greece,Thraki,Greece,Maronia Vineyard,88.0,20.0,Thraki,,,Mavroudi,Tsantali,93
Greece,Vin de Pays d'Imathia,Greece,,89.0,40.0,Vin de Pays d'Imathia,,,Syrah,Kir-Yianni,96
Greece,Vin de Pays de Macédoine,Greece,Amethystos,86.0,14.0,Vin de Pays de Macédoine,,,White Blend,Domaine Costa Lazaridi,94
Greece,Vin de Pays de Velvendo,Greece,,87.0,35.0,Vin de Pays de Velvendo,,,Red Blend,Ktima Voyatzi,95
Greece,Zitsa,Greece,Primus,82.0,15.0,Zitsa,,,White Blend,Glinavos,95
Hungary,Eger,Hungary,,86.0,12.0,Eger,,,Chardonnay,Tibor Gal,85
Hungary,Felso-Magyarország,Hungary,Connoisseur Collection,84.0,7.0,Felso-Magyarország,,,Pinot Gris,Dunavar,91
Hungary,Hungary,Hungary,Mátra Muscat de Bianca,90.0,18.0,Hungary,,,Muscat Blanc,Vinum,95
Hungary,Mátra,Hungary,Zöld Veltelini,89.0,13.0,Mátra,,,Grüner Veltliner,Szoke Matyás,96
Hungary,Neszmély,Hungary,,86.0,9.0,Neszmély,,,Sauvignon Blanc,Craftsman,92
Hungary,Pannon,Hungary,,88.0,12.0,Pannon,,,Grüner Veltliner,Count Károlyi,80
Hungary,Sopron,Hungary,Steiner,90.0,35.0,Sopron,,,Kekfrankos,Weninger,91
Hungary,Szekszárd,Hungary,Nagyapám,89.0,18.0,Szekszárd,,,Kadarka,Eszterbauer,93
Hungary,Tokaj,Hungary,Cuvée Ilona,94.0,50.0,Tokaj,,,Tokaji,Királyudvar,87
Hungary,Tokaji,Hungary,Aszú 6 Puttonyos,96.0,125.0,Tokaji,,,Tokaji,Dobogó,89
Hungary,Villány,Hungary,,90.0,25.0,Villány,,,Pinot Noir,Vylyan,93
India,Nashik,India,Estate Bottled,91.0,12.0,Nashik,,,Shiraz,Sula,84
Israel,Dan,Israel,Classic,88.0,12.0,Dan,,,Chardonnay,Barkan,89
Israel,Ella Valley,Israel,Reserve Kosher,88.0,25.0,Ella Valley,,,Merlot,Recanati,94
Israel,Galil,Israel,Reserve,89.0,25.0,Galil,,,Cabernet Sauvignon,Barkan,89
Israel,Galilee,Israel,Adama,93.0,,Galilee,,,Merlot,Tabor,92
Israel,Golan Heights,Israel,,91.0,40.0,Golan Heights,,,Cabernet Sauvignon,Bazelet HaGolan,98
Israel,Haut-Judeé,Israel,Grand Vin,92.0,75.0,Haut-Judeé,,,Bordeaux-style Red Blend,Domaine du Castel,82
Israel,Israel,Israel,The Great Amarolo Dry Red Wine,89.0,75.0,Israel,,,Red Blend,Alexander,87
Israel,Jerusalem Hills,Israel,M-Series,89.0,40.0,Jerusalem Hills,,,Cabernet Sauvignon,Psagot,96
Israel,Judean Hills,Israel,Legend,93.0,40.0,Judean Hills,,,Red Blend,Shiloh Winery,97
Israel,Negev,Israel,Classic Kosher,84.0,13.0,Negev,,,Pinot Noir,Barkan,95
Israel,Negev Hills,Israel,Jonathan Tishbi Special Reserve Single Vineyard Sde Boker Kosher,89.0,55.0,Negev Hills,,,Bordeaux-style Red Blend,Tishbi Estate,97
Israel,Samson,Israel,Oak Aged,93.0,25.0,Samson,,,Petite Sirah,Dalton,90
Israel,Shomron,Israel,Soreka Special Reserve,92.0,30.0,Shomron,,,Cabernet Sauvignon,Madmon,82
Israel,Upper Galilee,Israel,Limited Edition,92.0,85.0,Upper Galilee,,,Bordeaux-style Red Blend,Carmel,81
Italy,Central Italy,Italy,Colleallodole,95.0,70.0,Central Italy,Sagrantino di Montefalco,,Sagrantino,Milziade Antano,84
Italy,Italy Other,Italy,Munjebel Bianco 9,92.0,40.0,Italy Other,Vino da Tavola,,White Blend,Frank Cornelissen,98
Italy,Lombardy,Italy,Vintage Collection Dosage Zero Noir Riserva,94.0,,Lombardy,Franciacorta,,Pinot Nero,Ca' del Bosco,98
Italy,Northeastern Italy,Italy,Picolit,97.0,90.0,Northeastern Italy,Colli Orientali del Friuli,,Picolit,Livio Felluga,87
Italy,Northwestern Italy,Italy,Rayon Blanc de Morgex et de La Salle,89.0,23.0,Northwestern Italy,Valle d'Aosta,,Prié Blanc,Cave du Vin Blanc de Morgex et de la Salle,88
Italy,Piedmont,Italy,Monprivato,99.0,175.0,Piedmont,Barolo,,Nebbiolo,Mascarello Giuseppe e Figlio,96
Italy,Sicily & Sardinia,Italy,Contrada P,95.0,80.0,Sicily & Sardinia,Terre Siciliane,,Nerello Mascalese,Passopisciaro,87
